time,steps,distance,calories
1739345700,7,5,1.0
1739345520,6,5,1.0
1739345460,47,34,2.0
1739345400,25,18,1.0
1739345340,46,33,2.0
1739345280,30,22,1.0
1739345160,11,8,1.0
1739345040,6,5,1.0
1739344620,5,4,1.0
1739344320,6,5,1.0
1739344260,7,5,1.0
1739344200,9,7,1.0
1739344080,11,8,1.0
1739344020,16,12,1.0
1739343900,10,8,1.0
1739343840,10,8,1.0
1739343480,6,5,1.0
1739315580,10,8,1.0
1739315520,1,1,1.0
1739315460,11,8,1.0
1739315400,11,8,1.0
1739315280,17,13,1.0
1739315040,13,10,1.0
1739314980,33,24,2.0
1739314860,17,13,1.0
1739314800,4,3,1.0
1739314740,7,4,0.0
1739314620,10,6,0.0
1739314260,7,4,0.0
1739314200,9,6,0.0
1739309520,20,13,0.0
1739309160,17,11,0.0
1739309100,33,22,1.0
1739308860,32,19,1.28
1739306340,9,6,0.0
1739305740,4,2,0.0
1739305560,8,5,0.0
1739303760,10,6,0.0
1739302440,7,4,0.0
1739301780,6,4,0.0
1739301300,12,7,0.48
1739301300,13,8,0.0
1739301060,8,5,0.0
1739300940,15,10,0.0
1739300880,17,10,0.68
1739300580,7,4,0.0
1739300460,7,4,0.28
1739300460,5,3,0.0
1739300400,55,33,2.1999998
1739300340,22,13,0.88
1739300280,27,16,1.0799999
1739299260,7,4,0.0
1739299200,19,11,0.76
1739299080,34,22,1.0
1739299020,41,24,1.64
1739299020,32,21,1.0
1739298960,21,12,0.84
1739297520,1,0,0.0
1739297460,7,4,0.0
1739297340,63,42,2.0
1739297280,64,43,2.0
1739297280,47,28,1.88
1739297220,51,30,2.04
1739297220,1,0,0.0
1739297160,68,45,2.0
1739297100,67,40,2.6799998
1739295480,11,6,0.44
1739294460,36,21,1.4399999
1739294340,20,12,0.79999995
1739293560,20,12,0.79999995
1739292780,12,7,0.48
1739291280,44,26,1.76
1739291220,36,21,1.4399999
1739290740,22,13,0.88
1739290500,17,10,0.68
1739290440,28,16,1.12
1739290260,4,2,0.16
1739290200,93,55,3.72
1739290140,94,56,3.76
1739290080,100,59,3.9999998
1739290020,14,8,0.56
1739289960,58,34,2.32
1739289900,78,46,3.12
1739289840,3,1,0.12
1739296380,5,3,0.0
1739296320,4,2,0.0
1739295720,19,12,0.0
1739295660,9,6,0.0
1739295540,10,6,0.0
1739295360,29,19,1.0
1739294580,1,0,0.0
1739294520,29,19,1.0
1739294400,22,14,0.0
1739294340,5,3,0.0
1739293620,17,11,0.0
1739292900,6,4,0.0
1739292840,16,10,0.0
1739292000,6,4,0.0
1739291640,13,8,0.0
1739291340,48,32,1.0
1739291280,29,19,1.0
1739291220,12,8,0.0
1739291100,10,7,0.0
1739291040,13,9,0.0
1739290980,47,32,1.0
1739290920,93,63,3.0
1739290860,92,63,3.0
1739290800,95,65,3.0
1739290740,88,60,3.0
1739290680,90,61,3.0
1739290620,82,56,3.0
1739290560,82,56,3.0
1739290500,74,51,2.0
1739290440,90,61,4.0
1739290380,90,61,4.0
1739290320,83,57,4.0
1739290260,81,55,4.0
1739290200,92,63,4.0
1739290140,92,63,4.0
1739290080,39,27,2.0
1739290020,77,53,3.0
1739289960,82,56,4.0
1739289900,10,7,1.0
1739289660,23,16,1.0
1739289540,78,53,3.0
1739289480,37,26,2.0
1739289480,68,40,2.72
1739289420,7,5,1.0
1739289420,26,15,1.04
1739289120,8,6,1.0
1739288640,41,28,2.0
1739288580,5,4,1.0
1739288580,16,9,0.64
1739288520,45,27,1.8
1739288340,6,5,1.0
1739280060,25,17,1.0
1739280000,5,4,1.0
1739278860,10,7,1.0
1739272440,7,5,1.0
1739271420,5,4,1.0
1739269620,10,6,0.39999998
1739269500,14,8,0.56
1739258220,15,11,1.0
1739258160,61,42,3.0
1739258160,11,6,0.44
1739258100,66,39,2.6399999
1739256420,45,31,2.0
1739256360,23,16,1.0
1739256360,35,21,1.4
1739256300,16,9,0.64
1739256000,28,19,2.0
1739255940,28,19,2.0
1739255820,26,18,1.0
1739255760,14,10,1.0
1739255520,31,21,2.0
1739255460,10,7,1.0
1739255400,13,9,1.0
1739255340,8,6,1.0
1739255280,23,16,1.0
1739254980,26,18,1.0
1739254500,17,12,1.0
1739254440,12,9,1.0
1739247360,5,4,1.0
1739225820,12,8,0.0
1739222820,4,2,0.0
1739222760,12,7,0.48
1739222700,21,14,0.0
1739221320,8,5,0.0
1739221260,8,5,0.0
1739221080,4,2,0.0
1739219220,54,37,1.0
1739219160,48,28,1.9200001
1739218440,7,4,0.0
1739217960,1,0,0.0
1739217900,17,11,0.0
